key,english
Void and Comp,Void and Comp
 Hint, Hint
No. of Locations,No. of Locations
View details,View details
Software Features,Software Features
Standard,Standard
StartUp,StartUp
Advance,Advance
Stock & Inventory,Stock & Inventory
Interfaces,Interfaces
Reports & Insights,Reports & Insights
Accounting,Accounting
Saptco,Saptco
Order type updated,Order type updated
No Order Types!,No Order Types!
Void and Comp Reason,Void and Comp Reason
Void and Comp Reasons,Void and Comp Reasons
Create Reason,Create Reason
Search Reason,Search Reason
No Void or Comp!,No Void or Comp!
"The Total Debit consists of payouts, vendor payments, and other expenses.","The Total Debit consists of payouts, vendor payments, and other expenses."
Total Debit,Total Debit
Total credit consists of Sales and deposits,Total credit consists of Sales and deposits
Total Credit,Total Credit
accounting total profit info message,accounting total profit info message
Profits / Losses,Profits / Losses
Project your financial future with Anticipated Balance and stay in control of your money.,Project your financial future with Anticipated Balance and stay in control of your money.
Expected Payments,Expected Payments
Monitor your dues with Outstanding Balance to maintain healthy financial habits.,Monitor your dues with Outstanding Balance to maintain healthy financial habits.
Expected Payables,Expected Payables
SAR: ,SAR: 
is disabled for billing,is disabled for billing
Look like item is in different order types,Look like item is in different order types
Look like product is in different order types,Look like product is in different order types
 Variants, Variants
 Boxes, Boxes
 Crates, Crates
SAR ,SAR 
Info,Info
Note: ,Note: 
Please choose the order option(s) to cancel the orders within it before day end.,Please choose the order option(s) to cancel the orders within it before day end.
Open Orders: All the open orders are listed here,Open Orders: All the open orders are listed here
Ongoing Orders: All the ongoing orders are listed here,Ongoing Orders: All the ongoing orders are listed here
All the open & ongoing orders would be cancelled,All the open & ongoing orders would be cancelled
All the open orders would be cancelled,All the open orders would be cancelled
All the ongoing orders would be cancelled,All the ongoing orders would be cancelled
Source,Source
QR,QR
Crate,Crate
"Currently, there are no deleted items","Currently, there are no deleted items"
Online Order Settings,Online Order Settings
No activity logs!,No activity logs!
QR order setting configuration updated,QR order setting configuration updated
QR Order Settings,QR Order Settings
Box are disabled for billing,Box are disabled for billing
Crate are disabled for billing,Crate are disabled for billing
Box are not for sale,Box are not for sale
Crate are not for sale,Crate are not for sale
Device not selected reselect again or refresh,Device not selected reselect again or refresh
Device is inactive for billing,Device is inactive for billing
Device is unpaired for billing pair again to continue,Device is unpaired for billing pair again to continue
NO. of Units,NO. of Units
Stock Count,Stock Count
"Search with Name, SKU and Code","Search with Name, SKU and Code"
No Boxes or Crates!,No Boxes or Crates!
Goes to,Goes to
Crate: ,Crate: 
CrateName,CrateName
